feature,importance
total_late_counts,0.39643306
Count_6-12_months_late,0.13749968
perc_premium_paid_by_cash_credit,0.055323232
Count_3-6_months_late,0.04054907
Count_more_than_12_months_late,0.031635076
premiums_paid_ratio,0.031433146
no_of_premiums_paid,0.031153861
sourcing_channel_C,0.030204186
application_underwriting_score,0.030194862
age_in_years,0.029276969
sourcing_channel_B,0.029232413
Income,0.029143421
premium_to_income,0.028202392
premium,0.028132131
sourcing_channel_D,0.02803449
residence_area_type_Urban,0.026318999
sourcing_channel_E,0.017233025
high_underwriting_flag,0.0
